,name,country,teams,total_maps,total_rounds,kd_diff,kd,rating
130,mini,Turkey,['Royal Bandits'],318,8292,641,1.11,1.10
131,allu,Finland,['ENCE'],1603,41986,4343,1.16,1.10
132,moose,Canada,['eUnited'],752,19559,1975,1.16,1.10
133,mixwell,Spain,['OpTic'],840,21804,1911,1.13,1.09
134,SNk,Kyrgyzstan,['Tengri'],224,5918,503,1.13,1.09
135,Sonic,South Africa,['Extra Salt'],866,22274,2104,1.15,1.09
136,syrsoN,Germany,['BIG'],1557,41316,4163,1.16,1.09
137,mezii,United Kingdom,['Endpoint'],378,10332,1001,1.15,1.09
138,oSee,United States,['Extra Salt'],885,22946,2380,1.16,1.09
139,KQLY,France,['LDLC'],250,6394,524,1.12,1.09
140,cynic,United States,['Triumph'],423,10970,1064,1.15,1.09
141,gas,China,['Wings Up'],424,11049,705,1.09,1.09
142,dispenser,Philippines,['Mineski'],188,4793,280,1.08,1.09
143,dennyslaw,Bulgaria,['SKADE'],880,23616,2195,1.14,1.09
144,Remind,Tunisia,['Tunisia'],101,2685,169,1.09,1.09
145,GeT_RiGhT,Sweden,['NIP'],1744,45005,4289,1.15,1.09
146,JUGi,Denmark,['Heroic'],935,24296,2659,1.18,1.09
147,zehN,Finland,['GODSENT'],1031,27206,2307,1.13,1.09
148,lollipop21k,Belarus,['Nemiga'],1046,28053,2279,1.12,1.09
149,dgt,Uruguay,['9z'],285,7450,763,1.16,1.09
150,Cooper,United States,['Swole Patrol'],729,18904,1883,1.16,1.09
151,Magisk,Denmark,['Astralis'],1290,33939,3224,1.15,1.09
152,ZOREE,Finland,['HAVU'],1598,42423,4309,1.16,1.09
153,ryx,United States,['Echo Fox'],491,12856,1181,1.14,1.09
154,keeyto,Australia,['Paradox'],202,5211,442,1.13,1.09
155,floppy,United States,['Cloud9'],669,17567,1368,1.12,1.09
156,ScreaM,Belgium,['Envy'],1430,37087,3105,1.13,1.09
157,valde,Denmark,['OG'],1170,31047,2711,1.13,1.09
158,EliGE,United States,['Liquid'],1476,38669,2796,1.11,1.09
159,BL1TZ,Australia,['Chiefs'],716,18370,1560,1.13,1.09
160,minimal,Argentina,['River Plate'],122,3231,287,1.14,1.09
161,k0nfig,Denmark,['Dignitas'],1418,37477,2415,1.09,1.09
162,dupreeh,Denmark,['Astralis'],1832,47667,4267,1.14,1.09
163,Hatz,Australia,['Renegades'],869,22188,2030,1.14,1.09
164,NAF,Canada,['Liquid'],1437,37717,3614,1.15,1.09
165,ritchiEE,Belgium,['GORILLAZ'],185,4902,403,1.13,1.09
166,Machinegun,Mongolia,['TheMongolz'],407,10370,680,1.09,1.09
167,Attacker,China,['TYLOO'],1175,30177,2576,1.13,1.09
168,tor1towOw,Peru,['Infinity'],160,4111,300,1.11,1.09
169,nex,Germany,['BIG'],1074,28389,2435,1.13,1.09
170,s4,Ukraine,['EC Kyiv'],139,3696,337,1.15,1.09
171,PALM1,Sweden,['TEAM5'],155,4216,226,1.07,1.09
172,husK,Australia,['Control'],117,2954,150,1.07,1.09
173,fer,Brazil,['SK'],1336,34798,2636,1.11,1.09
174,Summer,China,['TYLOO'],1182,30399,2767,1.14,1.08
175,HaZR,Australia,['AVANT'],625,16006,1064,1.1,1.08
176,Troubley,Germany,['mousesports'],266,6808,484,1.1,1.08
177,trk,Brazil,['TeamOne'],702,18349,1507,1.13,1.08
178,Sayf,Sweden,['Singularity'],346,9334,684,1.11,1.08
179,nukkye,Lithuania,['Imperial'],592,15492,1330,1.13,1.08
180,2D,Australia,['Ground Zero'],136,3524,343,1.15,1.08
181,Spinx,Israel,['ENCE'],274,7270,597,1.13,1.08
182,nython,Brazil,['Paquetá'],341,9076,786,1.13,1.08
183,Xeppaa,United States,['Chaos'],367,9519,703,1.11,1.08
184,pz,Australia,['VERTEX'],287,7473,636,1.13,1.08
185,sergej,Finland,['ENCE'],731,19266,1773,1.14,1.08
186,exit,Brazil,['Sharks'],566,14567,1446,1.16,1.08
187,REOVA,Turkey,['RONIN'],145,3775,331,1.14,1.08
188,potter,United States,['CLG Red'],119,2979,225,1.11,1.08
189,FL1T,Russia,['forZe'],1121,30232,2645,1.13,1.08
190,PwnAlone,United States,['Party Astronauts'],675,17678,1489,1.13,1.08
191,Savage,China,['VG.CyberZen'],836,21434,1926,1.14,1.08
192,felps,Brazil,['SK'],899,22930,1509,1.09,1.08
193,DJOXiC,Serbia,['Binary Dragons'],489,12531,1204,1.15,1.08
"194,faveN,Germany,""['Sprout', 'EURONICS']"",1168,31129,2578,1.13,1.08"
195,shox,France,['Vitality'],1873,49128,3882,1.12,1.08
196,keev,Germany,['ALTERNATE aTTaX'],594,15524,1217,1.12,1.08
197,Detrony,South Africa,['Bravado'],400,10133,827,1.13,1.08
198,Inseaniac,Canada,['GGPR'],169,4508,323,1.11,1.08
199,Impulse,Serbia,['ONYX'],663,17556,1450,1.13,1.08
200,b4rtiN,Brazil,['GODSENT'],380,9951,835,1.13,1.08
201,draken,Sweden,['Epsilon'],1028,27086,2454,1.14,1.08
202,ShahZaM,United States,['Complexity'],966,25252,2058,1.13,1.08
203,ptr,United States,['Bad News Bears'],1113,29154,2761,1.15,1.08
204,KmZ,United States,['OCG'],194,4991,256,1.07,1.08
205,MICHU,Poland,['Virtus.pro'],1627,42782,2873,1.1,1.08
206,jayzaR,Sweden,['Valiance'],502,13242,889,1.1,1.08
207,Papichulo,Philippines,['Bren'],330,8596,641,1.11,1.08
208,dycha,Poland,['ENCE'],635,17055,1118,1.1,1.08
209,CRUC1AL,Netherlands,['Endpoint'],1306,34181,2665,1.12,1.08
210,autimatic,United States,['Cloud9'],1122,29309,2278,1.12,1.08
211,NaToSaphiX,Denmark,['Sprout'],926,24733,2436,1.16,1.08
212,hardzao,Brazil,['paiN'],468,12274,1087,1.14,1.08
213,meyern,Argentina,['Furious'],400,10387,680,1.1,1.07
214,hallzerk,Norway,['Dignitas'],592,16008,1161,1.11,1.07
215,KllyVe,Belgium,['Galaxy Racer fe'],149,3828,266,1.1,1.07
216,latto,Brazil,['GODSENT'],204,5440,448,1.13,1.07
217,flameZ,Israel,['OG'],305,8148,508,1.09,1.07
218,mimi,Denmark,['XSET'],170,4029,261,1.1,1.07
219,Liazz,Australia,['EXTREMUM'],918,23699,2000,1.14,1.07
220,jks,Australia,['Complexity'],1144,29891,2339,1.12,1.07
221,dapr,United States,['eUnited'],594,15426,1002,1.1,1.07
222,flomaster,Kazakhstan,['zARLANS'],127,3307,217,1.1,1.07
223,YEKINDAR,Latvia,['Virtus.pro'],988,26237,1299,1.07,1.07
224,InfrequeNt,Australia,['Athletico'],467,12046,944,1.12,1.07
225,hAdji,France,['LDLC'],1006,26535,1902,1.11,1.07
226,NikoM,Argentina,['DETONA'],451,11509,844,1.11,1.07
227,FalleN,Brazil,['SK'],1430,37421,3565,1.16,1.07
228,ayken,Germany,['Demolition Crew'],184,4919,296,1.09,1.07
229,pancc,Brazil,['Sharks'],505,13196,814,1.09,1.07
230,rain,Canada,['Dignitas fe'],191,4817,347,1.11,1.07
231,cqntrl,Brazil,['Keyd'],104,2800,182,1.1,1.07
232,Brollan,Sweden,['fnatic'],874,23244,1417,1.09,1.07
233,joel,Sweden,['Galaxy Racer'],141,3784,265,1.11,1.07
"234,smike,Ukraine,[""""spray'n'pray""""],480,12461,655,1.08,1.07"
235,nicoodoz,Denmark,['Copenhagen Flames'],477,12916,1150,1.14,1.07
236,paz,Turkey,['Sangal'],1053,27610,1997,1.11,1.07
237,Lucky,Denmark,['Tricked'],342,9290,766,1.13,1.07
238,SideStep,United States,['Party Astronauts'],113,2940,213,1.11,1.07
239,shz,Brazil,['MIBR'],775,20098,1493,1.12,1.07
240,fejtZ,Estonia,['SMASH'],733,19457,1322,1.1,1.07
241,slaxz-,Germany,['Sprout'],680,18334,1488,1.13,1.07
242,EspiranTo,Lithuania,['Imperial'],857,22439,1334,1.09,1.07
243,di^,United States,['CLG Red'],180,4495,352,1.12,1.07
244,anarkez,Israel,['Secret'],471,12627,898,1.11,1.07
245,NikkeZ,Australia,['Ground Zero'],376,9711,581,1.09,1.07
246,n1ssim,Brazil,['Case'],119,3161,233,1.11,1.07
247,xand,Brazil,['INTZ'],515,13210,875,1.1,1.07
248,Rickeh,Australia,['ORDER'],860,22524,1989,1.14,1.07
249,somebody,China,['TYLOO'],1216,31454,2120,1.1,1.07
250,QKA,China,['5POWER'],399,10332,707,1.1,1.07
251,downie,Sweden,['Torpedo'],317,8286,656,1.13,1.07
252,blackpoisoN,South Africa,['ATK'],295,7528,461,1.09,1.07
253,Krimbo,Germany,['ALTERNATE aTTaX'],190,5022,357,1.11,1.07
254,CLASIA,United States,['RBG'],182,4765,318,1.1,1.07
255,WorldEdit,Russia,['FlipSid3'],1328,34716,2476,1.11,1.07
256,Hobbit,Kazakhstan,['Gambit'],1040,27440,1981,1.11,1.07
257,boltz,Brazil,['Immortals'],1184,30851,2413,1.12,1.07
258,shroud,Canada,['Cloud9'],676,17460,1311,1.12,1.07
259,agM,United States,['Excelerate'],134,3428,201,1.09,1.07
260,Pimp,Denmark,['Dignitas'],976,25052,2016,1.13,1.07
261,iDISBALANCE,Russia,['Nemiga'],688,18316,1550,1.14,1.07
262,Ryxxo,Denmark,['Tricked'],731,19178,1488,1.12,1.07
263,Konvict,South Africa,['Aperture'],105,2619,189,1.11,1.07
264,DD,China,['TYLOO'],910,23543,1527,1.1,1.07
265,Jinx,Korea,['GOSU'],196,5038,299,1.09,1.07
266,bLitz,Mongolia,['Checkmate'],106,2858,116,1.06,1.06
267,zhokiNg,China,['ViCi'],1177,30044,1502,1.07,1.06
268,vilga,Russia,['Secret fe'],227,5573,350,1.09,1.06
269,fame,Russia,['K23'],314,8454,514,1.09,1.06
270,JOTA,Brazil,['Bravos'],252,6581,454,1.11,1.06
271,Grim,United States,['Liquid'],756,19877,890,1.07,1.06
272,iGm,Romania,['Nexus'],150,3923,160,1.06,1.06
273,JeXeN,China,['ViCi'],125,3111,200,1.1,1.06
274,Keiti,United States,['Mythic'],203,5452,227,1.06,1.06
275,leaf,United States,['Chaos'],254,6523,352,1.08,1.06
276,V4D1M,Russia,['Invictus'],315,8236,604,1.11,1.06
277,flexeeee,South Africa,['Energy'],173,4333,256,1.09,1.06
278,DaZeD,United States,['iBUYPOWER'],170,4518,309,1.1,1.06
279,Valiance,Australia,['ORDER'],518,13346,883,1.1,1.06
280,acoR,Denmark,['mousesports'],1017,26597,1956,1.12,1.06
281,ofnu,New Zealand,['Tainted Minds'],852,21778,1380,1.1,1.06
282,SHiPZ,Bulgaria,['SKADE'],1391,36918,1885,1.07,1.06
283,AnJ,Denmark,['NRG'],403,10503,763,1.11,1.06
284,j9,Thailand,['Signature'],114,2879,106,1.05,1.06
285,Ethan,United States,['NRG'],986,25998,1488,1.09,1.06
286,tucks,Australia,['Chiefs'],689,17415,1281,1.11,1.06
287,juliano,Sweden,['Secret fe'],252,6104,352,1.09,1.06
288,Roflko,Australia,['VERTEX'],214,5531,265,1.07,1.06
289,sausol,Spain,['MAD Lions'],145,3942,238,1.09,1.06
290,frei,United Kingdom,['Epsilon'],256,6660,412,1.09,1.06
291,TeSeS,Denmark,['Heroic'],696,18582,1056,1.08,1.06
292,olofmeister,Sweden,['FaZe'],1506,39348,2774,1.11,1.06
293,Happy,France,['Envy'],1464,37933,2745,1.11,1.06
294,Ant1ka,Russia,['Secret fe'],126,3135,243,1.12,1.06
295,4pack,United States,['Rebirth'],228,5904,239,1.06,1.06
296,Derkeps,Finland,['KOVA'],113,2948,86,1.04,1.06
297,XotiC,United States,['ChocoCheck'],267,7032,467,1.1,1.06
298,L!nKz^,Chile,['Isurus'],213,5606,408,1.11,1.06
299,AE,China,['EMP'],302,7813,294,1.05,1.06
300,snatchie,Poland,['AGO'],1359,36521,1979,1.08,1.06
301,koosta,United States,['CLG'],951,25077,1350,1.08,1.06
302,COLDYY1,Ukraine,['Spirit'],947,24917,1718,1.11,1.06
303,Maka,France,['LDLC'],1053,27999,1866,1.1,1.06
304,JohnOlsen,Thailand,['Lucid Dream'],206,5353,261,1.07,1.06
305,sdy,Ukraine,['Spirit'],952,25057,1864,1.12,1.06
306,nexa,Serbia,['G2'],1154,30476,2108,1.11,1.06
307,scoobyxie,Ukraine,['HellRaisers'],237,6341,421,1.1,1.06
308,Skadoodle,United States,['Cloud9'],1047,27129,2458,1.15,1.06
309,flying,China,['Invictus'],377,10075,516,1.07,1.06
310,chawzyyy,Sweden,['Galaxy Racer'],185,4988,279,1.09,1.06
311,jL,Lithuania,['MAD Lions'],130,3505,185,1.08,1.06
312,suNny,Finland,['ENCE'],1265,33373,1562,1.07,1.06
313,B1T,Ukraine,['Natus Vincere'],317,8406,524,1.1,1.06
314,TOR,Thailand,['Signature'],452,11472,657,1.09,1.06
315,opportunity,United States,['Fam143'],129,3464,133,1.05,1.06
316,chelo,Brazil,['MIBR'],787,20340,1110,1.08,1.06
317,Gratisfaction,New Zealand,['EXTREMUM'],882,22943,1687,1.12,1.06
318,refrezh,Denmark,['Fragsters'],850,22613,1350,1.09,1.06
319,SLOWLY,China,['TYLOO'],454,12031,560,1.07,1.06
320,Rainwaker,Bulgaria,['SKADE'],836,22503,1435,1.1,1.05
321,Ace,India,['Entity'],134,3350,198,1.09,1.05
322,crashies,United States,['Riot Squad'],336,8723,459,1.08,1.05
323,imoRR,Turkey,['Sangal'],389,10444,256,1.03,1.05
324,smooth_criminal22,Australia,['madlikewizards'],290,7396,295,1.06,1.05
325,Zilkenberg,Mongolia,['TheMongolz'],321,8172,464,1.09,1.05
326,KEi,Poland,['AVEZ'],537,14445,535,1.05,1.05
327,Qikert,Kazakhstan,['Virtus.pro'],1145,30242,1969,1.1,1.05
328,tabseN,Germany,['BIG'],1775,46826,1523,1.05,1.05
329,lan,China,['Wings Up'],261,6748,326,1.07,1.05
330,rallen,Poland,['AGO'],1650,44052,2856,1.1,1.05
331,ISSAA,Jordan,['HellRaisers'],824,21606,1311,1.09,1.05
332,atter,Sweden,['Torpedo'],240,6228,244,1.06,1.05
333,SaVage,Australia,['Dire Wolves'],123,3057,242,1.13,1.05
334,remix,Brazil,['Havan Liberty'],271,7092,374,1.08,1.05
335,flaw,Australia,['Jade'],139,3488,137,1.06,1.05
336,Aerial,Finland,['HAVU'],854,22612,1179,1.08,1.05
337,EMUHLEET,United States,['Dignitas fe'],175,4405,345,1.13,1.05
338,KRIMZ,Sweden,['fnatic'],1663,43731,2981,1.11,1.05
339,cajunb,Denmark,['North'],1685,44055,2857,1.1,1.05
340,REDSTAR,Bulgaria,['Fiend'],508,13423,908,1.11,1.05
341,kanii,South Africa,['DNMK'],179,4436,207,1.07,1.05
342,roeJ,Denmark,['Copenhagen Flames'],647,17091,861,1.07,1.05
343,Marcelious,Norway,['777'],393,10692,551,1.08,1.05
344,nin9,Mongolia,['Renewal'],314,8269,555,1.1,1.05
345,twist,Sweden,['GODSENT'],1512,39962,2035,1.08,1.05
346,bottle,China,['Invictus'],756,19492,848,1.06,1.05
347,penny,Canada,['Triumph'],228,6019,225,1.05,1.05
348,mou,Kazakhstan,['K23'],1467,38924,2475,1.1,1.05
349,juanflatroo,Albania,['BLINK'],374,9963,299,1.04,1.05
350,Ramz1kBO$$,Kazakhstan,['Tengri'],425,11070,553,1.07,1.05
351,lainNy,Latvia,['Smoke Criminals'],107,2881,104,1.05,1.05
352,HZ,China,['TYLOO'],500,12856,691,1.08,1.05
353,Westmelon,China,['Lynn Vision'],210,5497,189,1.05,1.05
354,Daveys,Colombia,['Infinity'],267,6672,411,1.09,1.05
355,KHTEX,Brazil,['Paquetá'],574,14745,967,1.1,1.05
356,Mr.six,China,['New4'],244,6220,200,1.04,1.05
357,Maden,Montenegro,['FunPlus Phoenix'],532,14174,491,1.05,1.05
358,DavCost,Russia,['Spirit'],1112,29193,1735,1.09,1.05
359,Gospadarov,Russia,['NAVI Junior'],310,8323,550,1.11,1.05
360,flusha,Sweden,['fnatic'],1792,46987,2770,1.09,1.05
361,Temperature,United States,['The Fundamentals'],118,3034,109,1.05,1.05
362,Domsterr,South Africa,['ATK'],274,6833,439,1.1,1.05
363,Blastinho,Spain,['k1ck'],120,3197,169,1.08,1.05
364,JW,Sweden,['fnatic'],1879,49346,2349,1.07,1.05
365,motm,United States,['ATK'],735,19337,870,1.07,1.05
366,Sys,Indonesia,['Recca'],324,8237,435,1.08,1.05
367,yay,United States,['Complexity'],653,17182,604,1.05,1.05
368,cadiaN,Denmark,['Heroic'],1340,35365,2389,1.11,1.05
369,3ARK00Z,Jordan,['Triumph'],169,4387,144,1.05,1.05
370,Swahn,United States,['iNTACT'],250,6516,370,1.09,1.05
371,Annihilation,Mongolia,['D13'],184,4928,316,1.1,1.05
372,jtr,New Zealand,['Dynasty'],146,3784,164,1.06,1.05
373,SicK,United States,['Rogue'],795,20701,1040,1.07,1.05
374,NEEX,Poland,['Izako Boars'],429,11195,574,1.08,1.05
375,zeph,Australia,['ORDER'],516,13136,462,1.05,1.05
376,broky,Latvia,['FaZe'],547,14550,1001,1.11,1.05
377,NyX,Croatia,['Locastic'],128,3273,71,1.03,1.05
378,malbsMd,Guatemala,['TeamOne'],387,9879,203,1.03,1.05
379,VAATI,Peru,['Jaguar'],126,3176,172,1.08,1.05
380,loWel,Spain,['Movistar Riders'],1008,26413,1739,1.1,1.05
381,Flarich,Latvia,['HellRaisers'],1058,28161,1801,1.1,1.05
382,reiko,Poland,['HONORIS'],244,6452,110,1.02,1.05
383,Sobol,Poland,['PACT'],617,16769,789,1.07,1.05
384,k1tkat,United Arab Emirates,['NASR'],242,6302,202,1.05,1.05
385,kajsk1ng,Netherlands,['LowLandLions'],153,3988,95,1.03,1.05
386,zemp,Australia,['Ground Zero'],178,4640,121,1.04,1.05
387,Zellsis,United States,['Swole Patrol'],626,16210,803,1.07,1.05
388,kabal,Mongolia,['5POWER'],714,18733,1037,1.08,1.05
389,BRUNO,Peru,['Jaguar'],134,3325,44,1.02,1.05
390,SandeN,Denmark,['SK'],328,8560,355,1.06,1.05
391,jackhan,China,['New4'],275,7075,300,1.06,1.05
392,FiReMaNNN,Chile,['Andes'],140,3703,120,1.05,1.05
393,christo,Argentina,['Durany'],142,3747,160,1.06,1.05
394,rommi,Russia,['Spirit Academy'],516,13467,604,1.06,1.05
395,PANIX,Germany,['ALTERNATE aTTaX'],197,5188,234,1.07,1.05
396,nqz,Brazil,['DETONA'],117,3046,193,1.1,1.05
397,buster,Kazakhstan,['Virtus.pro'],1151,30386,2016,1.11,1.04
398,aumaN,China,['ViCi'],843,21616,1204,1.08,1.04
